instant,dteday,season,yr,mnth,hr,holiday,weekday,weathersit,temp,day,month,year,atemp,hum,windspeed,casual,registered,cnt
44,02-01-2011,0,0,1,20,FALSE,0,0,1.2693050175877625,2,1,2011,,-0.983907913,1.2599952476827516,0.0789199351608125,-0.725136946,-0.681269698
45,02-01-2011,0,0,1,21,FALSE,0,0,0.7769196053597593,2,1,2011,0.3474060736784892,-0.698676553,1.015142954110743,1.0290744176890156,-0.661283582,-0.498626342
46,02-01-2011,0,0,1,22,FALSE,0,0,0.5307268992457574,2,1,2011,0.1544387292524745,-0.698676553,0.7694690085468815,-0.712875467,-0.895412583,-0.945087879
47,02-01-2011,0,0,1,23,FALSE,0,0,0.2845341931317559,2,1,2011,0.3474060736784892,-0.527537737,-0.334009617,-0.712875467,-0.916697038,-0.965381585
48,03-01-2011,0,0,1,0,FALSE,1,0,0.2845341931317559,3,1,2011,-0.037259093,-0.698676553,1.2599952476827516,-0.712875467,-0.980550402,-1.026262704
49,03-01-2011,0,0,1,1,FALSE,1,0,0.0383414870177544,3,1,2011,,-0.698676553,1.7505214868186214,-0.712875467,-1.044403766,-1.087143822
50,03-01-2011,0,0,1,4,FALSE,1,0,-0.454043925,3,1,2011,-0.806589427,-0.527537737,1.5056691932466126,-0.712875467,-1.06568822,-1.107437529
51,03-01-2011,0,0,1,5,FALSE,1,0,-0.454043925,3,1,2011,-0.806589427,-0.527537737,0.6470428617608774,-0.712875467,-1.023119311,-1.066850116
52,03-01-2011,0,0,1,6,FALSE,1,0,-0.700236631,3,1,2011,-1.191254594,-0.356398922,1.5056691932466126,-0.712875467,-0.448439035,-0.518920048
53,03-01-2011,0,0,1,7,FALSE,1,0,-0.700236631,3,1,2011,-0.806589427,-0.356398922,-0.089157323,-0.554516387,0.2539479689663346,0.1710659628836565
54,03-01-2011,0,0,1,8,FALSE,1,0,-0.700236631,3,1,2011,-0.999556771,-0.356398922,0.6470428617608774,-0.554516387,2.169548889033904,1.9974995222599188
55,03-01-2011,0,0,1,9,FALSE,1,0,-0.454043925,3,1,2011,-0.806589427,-0.755722825,1.5056691932466126,0.3956380960035469,0.6370681529798485,0.6581149120506598
56,03-01-2011,0,0,1,10,FALSE,1,0,-0.207851219,3,1,2011,-0.42192426,-0.755722825,0.401368916197016,1.0290744176890156,-0.384585671,-0.234808161
57,03-01-2011,0,0,1,11,FALSE,1,0,0.0383414870177544,3,1,2011,-0.230226438,-0.926861641,1.015142954110743,0.8707153372676485,-0.214310034,-0.092752218
58,03-01-2011,0,0,1,12,FALSE,1,0,0.2845341931317559,3,1,2011,0.1544387292524745,-1.212093,0.7694690085468815,1.3457925785317502,-0.065318851,0.1101848442377811
59,03-01-2011,0,0,1,13,FALSE,1,0,0.5307268992457574,3,1,2011,,-1.212093,0.6470428617608774,0.5539971764249141,0.0411034222921602,0.1101848442377811
60,03-01-2011,0,0,1,14,FALSE,1,0,0.7769196053597593,3,1,2011,0.5391038961017014,-1.49732436,0.6470428617608774,1.0290744176890156,0.317801332968587,0.4348841436824499
61,03-01-2011,0,0,1,15,FALSE,1,0,0.7769196053597593,3,1,2011,0.5391038961017014,-1.49732436,0.401368916197016,1.5041516589531174,0.1475256956292474,0.3334156126059909
62,03-01-2011,0,0,1,16,FALSE,1,0,0.7769196053597593,3,1,2011,0.5391038961017014,-1.49732436,0.401368916197016,0.7123562568462813,0.3390857876360044,0.4145904374671582
63,03-01-2011,0,0,1,17,FALSE,1,0,0.5307268992457574,3,1,2011,0.3474060736784892,-1.49732436,0.1565166226250073,1.0290744176890156,2.020557706361982,2.058380640905794
64,03-01-2011,0,0,1,18,FALSE,1,0,0.5307268992457574,3,1,2011,0.7320712405277162,-1.383231816,-0.824535856,0.7123562568462813,2.0631266156968167,2.058380640905794
65,03-01-2011,0,0,1,19,FALSE,1,0,0.0383414870177544,3,1,2011,0.7320712405277162,-0.527537737,-1.683162187,0.5539971764249141,1.0840417009956147,1.1045764487870795
66,03-01-2011,0,0,1,20,FALSE,1,0,0.0383414870177544,3,1,2011,,-0.527537737,-0.824535856,-0.237798226,-0.044034396,-0.072458512
67,03-01-2011,0,0,1,21,FALSE,1,0,-0.207851219,3,1,2011,-0.037259093,0.4422488849450366,-0.579683562,-0.237798226,-0.044034396,-0.072458512
68,03-01-2011,0,0,1,22,FALSE,1,0,-0.700236631,3,1,2011,-0.614891604,0.7274802444464873,-0.579683562,-0.712875467,-0.661283582,-0.721857111
69,03-01-2011,0,0,1,23,FALSE,1,0,-0.207851219,3,1,2011,0.1544387292524745,-0.071167562,-0.824535856,-0.554516387,-0.852843674,-0.88420676
70,04-01-2011,0,0,1,0,FALSE,2,0,-0.454043925,4,1,2011,,-0.071167562,-0.824535856,-0.712875467,-0.980550402,-1.026262704
71,04-01-2011,0,0,1,1,FALSE,2,0,-0.454043925,4,1,2011,-0.230226438,0.1570175254435854,-0.824535856,-0.712875467,-1.044403766,-1.087143822
72,04-01-2011,0,0,1,2,FALSE,2,0,-0.700236631,4,1,2011,-0.614891604,0.3852026130447464,-0.579683562,-0.712875467,-1.06568822,-1.107437529
73,04-01-2011,0,0,1,4,FALSE,2,0,-0.700236631,4,1,2011,-0.230226438,0.3852026130447464,-0.946962002,-0.712875467,-1.044403766,-1.087143822
74,04-01-2011,0,0,1,5,FALSE,2,0,-0.946429337,4,1,2011,-0.614891604,0.6704339725461976,-0.824535856,-0.712875467,-1.001834856,-1.04655641
75,04-01-2011,0,0,1,6,FALSE,2,0,-0.946429337,4,1,2011,-0.614891604,1.0127116039479385,-0.824535856,-0.712875467,-0.320732307,-0.397157811
76,04-01-2011,0,0,1,7,FALSE,2,0,-0.946429337,4,1,2011,-0.614891604,1.0127116039479385,-0.579683562,-0.396157306,0.8711971543214404,0.7798771493424106
77,04-01-2011,0,0,1,8,FALSE,2,0,-0.700236631,4,1,2011,-0.614891604,0.7274802444464873,-0.334009617,-0.396157306,2.6803758010519223,2.504842177642214
78,04-01-2011,0,0,1,9,FALSE,2,0,-0.454043925,4,1,2011,-0.614891604,0.4422488849450366,0.1565166226250073,-0.396157306,0.998903882325945,0.9016393866341614
79,04-01-2011,0,0,1,10,FALSE,2,1,-0.454043925,4,1,2011,-0.806589427,0.7274802444464873,1.015142954110743,0.0789199351608125,-0.299447852,-0.275395574
80,04-01-2011,0,0,1,11,FALSE,2,0,0.2845341931317559,4,1,2011,0.1544387292524745,-0.29935265,0.7694690085468815,0.3956380960035469,-0.022749942,0.0290100193766139
81,04-01-2011,0,0,1,12,FALSE,2,0,0.2845341931317559,4,1,2011,0.3474060736784892,-0.29935265,-0.334009617,1.187433498110383,0.317801332968587,0.4551778498977417
82,04-01-2011,0,0,1,13,FALSE,2,0,0.5307268992457574,4,1,2011,0.3474060736784892,-0.01412129,-0.089157323,2.1375879806385862,0.5944992436450137,0.840758267988286
83,04-01-2011,0,0,1,14,FALSE,2,0,0.7769196053597593,4,1,2011,0.7320712405277162,-0.242306378,0.1565166226250073,0.7123562568462813,0.0623878769595777,0.1507722566683647
84,04-01-2011,0,0,1,15,FALSE,2,0,1.0231123114737612,4,1,2011,0.9237690629509284,-0.242306378,0.401368916197016,1.979228900217219,-0.065318851,0.1913596690989483
85,04-01-2011,0,0,1,16,FALSE,2,0,1.2693050175877625,4,1,2011,1.116736407376943,-0.413445194,0.401368916197016,1.662510739374485,0.3603702423034218,0.5566463809742007
86,04-01-2011,0,0,1,17,FALSE,2,0,1.0231123114737612,4,1,2011,0.9237690629509284,-0.470491465,0.1565166226250073,0.8707153372676485,3.2124871677373585,3.174534482746844
87,04-01-2011,0,0,1,18,FALSE,2,0,0.7769196053597593,4,1,2011,0.7320712405277162,-0.470491465,-0.089157323,-0.237798226,2.722944710386757,2.565723296288089
88,04-01-2011,0,0,1,19,FALSE,2,0,0.5307268992457574,4,1,2011,0.7320712405277162,-0.470491465,-0.824535856,-0.396157306,1.2543173383349542,1.1451638612176631
89,04-01-2011,0,0,1,20,FALSE,2,0,0.5307268992457574,4,1,2011,0.7320712405277162,-0.470491465,-0.824535856,-0.554516387,0.0411034222921602,-0.031871099
90,04-01-2011,0,0,1,21,FALSE,2,0,0.2845341931317559,4,1,2011,0.9237690629509284,0.4422488849450366,-1.683162187,-0.712875467,-0.065318851,-0.153633337
91,04-01-2011,0,0,1,22,FALSE,2,0,0.2845341931317559,4,1,2011,0.7320712405277162,0.4422488849450366,-0.946962002,-0.554516387,-0.363301216,-0.417451517
92,04-01-2011,0,0,1,23,FALSE,2,0,0.0383414870177544,4,1,2011,0.3474060736784892,0.7274802444464873,-0.946962002,-0.396157306,-0.895412583,-0.904500467
93,05-01-2011,0,0,1,0,FALSE,3,0,0.0383414870177544,5,1,2011,0.7320712405277162,0.4422488849450366,-1.683162187,-0.712875467,-0.959265947,-1.005968998
94,05-01-2011,0,0,1,1,FALSE,3,0,-0.454043925,5,1,2011,-0.037259093,1.0127116039479385,-0.946962002,-0.712875467,-0.959265947,-1.005968998
95,05-01-2011,0,0,1,2,FALSE,3,0,-0.454043925,5,1,2011,-0.037259093,1.0127116039479385,-0.946962002,-0.712875467,-1.044403766,-1.087143822
96,05-01-2011,0,0,1,4,FALSE,3,0,0.5307268992457574,5,1,2011,0.3474060736784892,-0.470491465,0.1565166226250073,-0.712875467,-1.044403766,-1.087143822
97,05-01-2011,0,0,1,5,FALSE,3,0,0.2845341931317559,5,1,2011,0.3474060736784892,-0.527537737,-0.334009617,-0.712875467,-1.023119311,-1.066850116
98,05-01-2011,0,0,1,6,FALSE,3,0,0.0383414870177544,5,1,2011,-0.037259093,-0.527537737,0.1565166226250073,-0.712875467,-0.384585671,-0.45803893
99,05-01-2011,0,0,1,7,FALSE,3,0,-0.207851219,5,1,2011,-0.230226438,-0.755722825,-0.089157323,-0.554516387,0.7647748809843532,0.6581149120506598
100,05-01-2011,0,0,1,8,FALSE,3,0,0.0383414870177544,5,1,2011,-0.230226438,-0.926861641,0.7694690085468815,-0.237798226,2.999642621063184,2.8295414770868828
101,05-01-2011,0,0,1,9,FALSE,3,0,0.2845341931317559,5,1,2011,-0.037259093,-1.098000456,1.015142954110743,0.2372790155821797,1.2330328836675368,1.2060449798635384
102,05-01-2011,0,0,1,10,FALSE,3,0,0.2845341931317559,5,1,2011,-0.037259093,-1.098000456,1.015142954110743,-0.079439145,0.0411034222921602,0.0290100193766139
103,05-01-2011,0,0,1,11,FALSE,3,0,0.7769196053597593,5,1,2011,0.3474060736784892,-1.326185544,1.015142954110743,1.187433498110383,-0.363301216,-0.194220749
104,05-01-2011,0,0,1,12,FALSE,3,0,0.7769196053597593,5,1,2011,0.3474060736784892,-1.326185544,1.015142954110743,0.0789199351608125,0.4880769703079264,0.4754715561130335
105,05-01-2011,0,0,1,13,FALSE,3,0,1.0231123114737612,5,1,2011,0.7320712405277162,-1.49732436,0.7694690085468815,0.2372790155821797,0.2965168783011695,0.3131219063906991
106,05-01-2011,0,0,1,14,FALSE,3,0,1.2693050175877625,5,1,2011,1.116736407376943,-1.611416903,-0.089157323,0.8707153372676485,0.0198189676247428,0.1304785504530729
107,05-01-2011,0,0,1,15,FALSE,3,0,1.2693050175877625,5,1,2011,1.116736407376943,-1.611416903,-0.089157323,0.3956380960035469,0.0836723316269951,0.1304785504530729
108,05-01-2011,0,0,1,16,FALSE,3,0,1.2693050175877625,5,1,2011,1.50140157422617,-1.611416903,-0.946962002,-0.079439145,0.7222059716495183,0.6784086182659516
109,05-01-2011,0,0,1,17,FALSE,3,0,0.5307268992457574,5,1,2011,0.3474060736784892,-1.040954184,-0.089157323,-0.079439145,2.87193589305868,2.7280729460104234
110,05-01-2011,0,0,1,18,FALSE,3,0,0.5307268992457574,5,1,2011,0.5391038961017014,-1.040954184,-0.579683562,-0.237798226,2.4462467997103308,2.301905115489296
111,05-01-2011,0,0,1,19,FALSE,3,0,0.5307268992457574,5,1,2011,0.7320712405277162,-1.040954184,-0.824535856,0.0789199351608125,1.6161530676810505,1.551037985523499
112,05-01-2011,0,0,1,20,FALSE,3,0,0.2845341931317559,5,1,2011,0.3474060736784892,-0.527537737,-0.334009617,0.3956380960035469,0.658352607647266,0.6784086182659516
113,05-01-2011,0,0,1,21,FALSE,3,0,0.0383414870177544,5,1,2011,-0.037259093,-0.29935265,-0.089157323,-0.237798226,-0.235594488,-0.255101868
114,05-01-2011,0,0,1,22,FALSE,3,0,-0.207851219,5,1,2011,-0.037259093,-0.071167562,-0.579683562,-0.554516387,-0.214310034,-0.275395574
115,05-01-2011,0,0,1,23,FALSE,3,0,0.0383414870177544,5,1,2011,0.7320712405277162,-0.527537737,-1.683162187,-0.554516387,-0.703852491,-0.742150817
116,06-01-2011,0,0,1,0,FALSE,4,0,-0.207851219,6,1,2011,0.5391038961017014,-0.071167562,-1.683162187,-0.712875467,-0.852843674,-0.904500467
117,06-01-2011,0,0,1,1,FALSE,4,0,-0.454043925,6,1,2011,0.3474060736784892,0.4422488849450366,-1.683162187,-0.712875467,-1.001834856,-1.04655641
118,06-01-2011,0,0,1,2,FALSE,4,0,-0.454043925,6,1,2011,0.3474060736784892,0.4422488849450366,-1.683162187,-0.712875467,-1.044403766,-1.087143822
119,06-01-2011,0,0,1,4,FALSE,4,1,-0.454043925,6,1,2011,-0.037259093,0.4422488849450366,-0.946962002,-0.712875467,-1.06568822,-1.107437529
120,06-01-2011,0,0,1,5,FALSE,4,1,-0.700236631,6,1,2011,-0.230226438,0.7274802444464873,-0.946962002,-0.712875467,-1.001834856,-1.04655641
121,06-01-2011,0,0,1,6,FALSE,4,1,-0.700236631,6,1,2011,-0.42192426,0.3852026130447464,-0.824535856,-0.712875467,-0.320732307,-0.397157811
122,06-01-2011,0,0,1,7,FALSE,4,1,-0.454043925,6,1,2011,0.3474060736784892,0.1570175254435854,-1.683162187,-0.712875467,0.9350505183236928,0.8001708555577024
123,06-01-2011,0,0,1,8,FALSE,4,0,-0.454043925,6,1,2011,0.3474060736784892,0.1570175254435854,-1.683162187,-0.237798226,3.5104695330812024,3.3165904262538857
124,06-01-2011,0,0,1,9,FALSE,4,1,-0.207851219,6,1,2011,0.5391038961017014,-0.29935265,-1.683162187,0.2372790155821797,1.3820240663394587,1.348100923370581
125,06-01-2011,0,0,1,10,FALSE,4,0,0.0383414870177544,6,1,2011,0.7320712405277162,-0.527537737,-1.683162187,-0.237798226,-0.193025579,-0.214514455
126,06-01-2011,0,0,1,11,FALSE,4,0,0.2845341931317559,6,1,2011,0.7320712405277162,-0.698676553,-0.946962002,-0.396157306,0.12624124096183,0.0695974318071975
127,06-01-2011,0,0,1,12,FALSE,4,0,0.7769196053597593,6,1,2011,1.116736407376943,-1.212093,-1.683162187,0.2372790155821797,0.5732147889775963,0.5769400871894925
128,06-01-2011,0,0,1,13,FALSE,4,0,0.7769196053597593,6,1,2011,0.9237690629509284,-1.212093,-0.824535856,1.187433498110383,0.0836723316269951,0.2319470815295319
129,06-01-2011,0,0,1,14,FALSE,4,0,1.0231123114737612,6,1,2011,0.9237690629509284,-1.155046728,-0.334009617,1.0290744176890156,0.1688101502966649,0.2928282001754073
130,06-01-2011,0,0,1,15,FALSE,4,0,1.0231123114737612,6,1,2011,0.9237690629509284,-1.155046728,-1.683162187,0.5539971764249141,0.0623878769595777,0.1304785504530729
131,06-01-2011,0,0,1,16,FALSE,4,0,0.7769196053597593,6,1,2011,0.7320712405277162,-1.040954184,-0.334009617,1.187433498110383,0.4880769703079264,0.6175274996200761
132,06-01-2011,0,0,1,17,FALSE,4,0,0.2845341931317559,6,1,2011,0.3474060736784892,-0.29935265,-0.334009617,0.7123562568462813,2.3823934357080785,2.362786234135171
133,06-01-2011,0,0,1,18,FALSE,4,0,0.2845341931317559,6,1,2011,0.3474060736784892,-0.29935265,-0.579683562,0.0789199351608125,2.275971162370991,2.180142878197545
134,06-01-2011,0,0,1,19,FALSE,4,0,0.2845341931317559,6,1,2011,0.7320712405277162,-0.071167562,-0.946962002,-0.237798226,1.2330328836675368,1.1451638612176631
135,06-01-2011,0,0,1,20,FALSE,4,0,0.0383414870177544,6,1,2011,0.1544387292524745,-0.29935265,-0.334009617,-0.237798226,0.317801332968587,0.2725344939601155
136,06-01-2011,0,0,1,21,FALSE,4,1,0.2845341931317559,6,1,2011,0.1544387292524745,-0.071167562,0.1565166226250073,-0.712875467,-0.065318851,-0.153633337
137,06-01-2011,0,0,1,22,FALSE,4,1,0.2845341931317559,6,1,2011,0.1544387292524745,-0.29935265,0.6470428617608774,-0.554516387,-0.001465487,-0.072458512
138,06-01-2011,0,0,1,23,FALSE,4,1,0.0383414870177544,6,1,2011,-0.037259093,0.1570175254435854,-0.089157323,-0.079439145,-0.682568036,-0.660975992
139,07-01-2011,0,0,1,0,FALSE,5,1,0.0383414870177544,7,1,2011,-0.037259093,0.4422488849450366,-0.089157323,-0.079439145,-0.810274764,-0.782738229
140,07-01-2011,0,0,1,1,FALSE,5,1,0.0383414870177544,7,1,2011,-0.037259093,0.7274802444464873,0.1565166226250073,-0.396157306,-0.980550402,-0.985675291
141,07-01-2011,0,0,1,2,FALSE,5,1,0.0383414870177544,7,1,2011,-0.037259093,0.7274802444464873,0.1565166226250073,-0.712875467,-1.06568822,-1.107437529
142,07-01-2011,0,0,1,4,FALSE,5,1,0.0383414870177544,7,1,2011,0.1544387292524745,0.7274802444464873,-0.579683562,-0.712875467,-1.06568822,-1.107437529
143,07-01-2011,0,0,1,5,FALSE,5,2,0.2845341931317559,7,1,2011,0.9237690629509284,-0.071167562,-1.683162187,-0.712875467,-0.980550402,-1.026262704
144,07-01-2011,0,0,1,6,FALSE,5,1,0.0383414870177544,7,1,2011,0.7320712405277162,0.7274802444464873,-1.683162187,0.5539971764249141,-0.533576854,-0.437745224
145,07-01-2011,0,0,1,7,FALSE,5,0,0.0383414870177544,7,1,2011,0.1544387292524745,0.7274802444464873,-0.579683562,0.5539971764249141,0.5306458796427613,0.5769400871894925
146,07-01-2011,0,0,1,8,FALSE,5,0,0.0383414870177544,7,1,2011,-0.037259093,-0.29935265,0.401368916197016,2.4543061414813208,2.957073711728349,3.1339470703162595
147,07-01-2011,0,0,1,9,FALSE,5,0,0.0383414870177544,7,1,2011,-0.230226438,-0.527537737,0.7694690085468815,0.7123562568462813,1.5735841583462156,1.5916253979540826
148,07-01-2011,0,0,1,10,FALSE,5,0,0.2845341931317559,7,1,2011,-0.037259093,-1.098000456,1.015142954110743,1.820869819795852,-0.086603306,0.1507722566683647
149,07-01-2011,0,0,1,11,FALSE,5,1,0.0383414870177544,7,1,2011,-0.037259093,-0.926861641,0.1565166226250073,2.295947061059953,-0.065318851,0.2319470815295319
150,07-01-2011,0,0,1,12,FALSE,5,1,0.0383414870177544,7,1,2011,-0.037259093,-1.098000456,0.401368916197016,0.7123562568462813,-0.022749942,0.0695974318071975
151,07-01-2011,0,0,1,13,FALSE,5,1,0.0383414870177544,7,1,2011,-0.230226438,-1.098000456,0.6470428617608774,0.7123562568462813,0.2752324236337521,0.3537093188212827
152,07-01-2011,0,0,1,14,FALSE,5,1,0.0383414870177544,7,1,2011,-0.037259093,-0.926861641,0.401368916197016,0.3956380960035469,-0.171741124,-0.113045924
153,07-01-2011,0,0,1,15,FALSE,5,1,0.0383414870177544,7,1,2011,0.1544387292524745,-1.098000456,-0.334009617,0.7123562568462813,0.2539479689663346,0.3334156126059909
154,07-01-2011,0,0,1,16,FALSE,5,1,0.0383414870177544,7,1,2011,0.1544387292524745,-1.098000456,-0.334009617,0.0789199351608125,0.658352607647266,0.6378212058353679
155,07-01-2011,0,0,1,17,FALSE,5,1,0.0383414870177544,7,1,2011,0.7320712405277162,-1.098000456,-1.683162187,0.7123562568462813,2.70166025571934,2.6671918273645483
156,07-01-2011,0,0,1,18,FALSE,5,0,0.0383414870177544,7,1,2011,0.3474060736784892,-0.926861641,-0.946962002,0.3956380960035469,1.3820240663394587,1.3683946295858729
157,07-01-2011,0,0,1,19,FALSE,5,0,-0.454043925,7,1,2011,-0.037259093,-0.071167562,-0.946962002,-0.237798226,0.8711971543214404,0.8001708555577024
